,time,r/c,accept_ratio
347,347,0.580,0.5977011494252874
348,348,0.580,0.5959885386819485
349,349,0.578,0.5971428571428572
350,350,0.579,0.5982905982905983
351,351,0.579,0.5965909090909091
352,352,0.579,0.5977337110481586
353,353,0.578,0.5988700564971752
354,354,0.579,0.6
355,355,0.578,0.601123595505618
356,356,0.578,0.5994397759103641
357,357,0.578,0.5977653631284916
358,358,0.578,0.5988857938718662
359,359,0.578,0.5972222222222222
360,360,0.578,0.5955678670360111
361,361,0.578,0.5939226519337016
362,362,0.578,0.5922865013774105
363,363,0.577,0.5934065934065934
364,364,0.578,0.5945205479452055
365,365,0.578,0.5956284153005464
366,366,0.578,0.5967302452316077
367,367,0.578,0.595108695652174
368,368,0.578,0.5962059620596206
369,369,0.578,0.5972972972972973
370,370,0.578,0.5956873315363881
371,371,0.578,0.5940860215053764
372,372,0.578,0.5924932975871313
373,373,0.578,0.5909090909090909
374,374,0.579,0.592
375,375,0.579,0.5904255319148937
376,376,0.578,0.5915119363395226
377,377,0.577,0.5925925925925926
378,378,0.577,0.5910290237467019
379,379,0.576,0.5921052631578947
380,380,0.576,0.5905511811023622
381,381,0.576,0.5916230366492147
382,382,0.576,0.5900783289817232
383,383,0.575,0.5911458333333334
384,384,0.575,0.5896103896103896
385,385,0.575,0.5880829015544041
386,386,0.575,0.5891472868217055
387,387,0.575,0.5902061855670103
388,388,0.575,0.5886889460154242
389,389,0.574,0.5897435897435898
390,390,0.574,0.5882352941176471
391,391,0.574,0.5867346938775511
392,392,0.574,0.5877862595419847
393,393,0.574,0.5862944162436549
394,394,0.574,0.5848101265822785
395,395,0.574,0.5858585858585859
396,396,0.573,0.5869017632241813
397,397,0.573,0.585427135678392
398,398,0.573,0.5839598997493735
399,399,0.573,0.5825
400,400,0.573,0.5810473815461347
401,401,0.574,0.582089552238806
402,402,0.574,0.5831265508684863
403,403,0.575,0.5841584158415841
404,404,0.575,0.582716049382716
405,405,0.575,0.583743842364532
406,406,0.575,0.5823095823095823
407,407,0.575,0.5808823529411765
408,408,0.575,0.5794621026894865
409,409,0.575,0.5780487804878048
410,410,0.575,0.5766423357664233
411,411,0.575,0.5776699029126213
412,412,0.575,0.576271186440678
413,413,0.575,0.5748792270531401
414,414,0.575,0.5734939759036145
415,415,0.575,0.5721153846153846
416,416,0.575,0.5707434052757794
417,417,0.575,0.569377990430622
418,418,0.575,0.5704057279236276
419,419,0.575,0.569047619047619
420,420,0.575,0.5676959619952494
421,421,0.575,0.566350710900474
422,422,0.575,0.5650118203309693
423,423,0.575,0.5636792452830188
424,424,0.574,0.5647058823529412
425,425,0.574,0.5633802816901409
426,426,0.574,0.5644028103044496
427,427,0.574,0.5654205607476636
428,428,0.574,0.5641025641025641
429,429,0.574,0.5651162790697675
430,430,0.574,0.5638051044083526
431,431,0.574,0.5648148148148148
432,432,0.574,0.5658198614318707
433,433,0.574,0.5645161290322581
434,434,0.574,0.5632183908045977
435,435,0.574,0.5619266055045872
436,436,0.574,0.562929061784897
437,437,0.574,0.5639269406392694
438,438,0.573,0.5649202733485194
439,439,0.573,0.5659090909090909
440,440,0.573,0.564625850340136
441,441,0.573,0.5633484162895928
442,442,0.574,0.5643340857787811
443,443,0.574,0.5630630630630631
444,444,0.574,0.5617977528089888
445,445,0.574,0.5605381165919282
446,446,0.574,0.5592841163310962
447,447,0.574,0.5602678571428571
448,448,0.574,0.5590200445434298
449,449,0.574,0.56
450,450,0.575,0.5609756097560976
451,451,0.575,0.5619469026548672
452,452,0.575,0.5607064017660044
453,453,0.575,0.5594713656387665
454,454,0.575,0.5604395604395604
455,455,0.575,0.5614035087719298
456,456,0.575,0.5601750547045952
457,457,0.575,0.5611353711790393
458,458,0.575,0.5620915032679739
459,459,0.575,0.5608695652173913
460,460,0.575,0.559652928416486
461,461,0.574,0.5606060606060606
462,462,0.574,0.5615550755939525
463,463,0.574,0.5625
464,464,0.574,0.5634408602150538
465,465,0.574,0.5643776824034334
466,466,0.574,0.5653104925053534
467,467,0.573,0.5662393162393162
468,468,0.573,0.5650319829424307
469,469,0.573,0.5659574468085107
470,470,0.573,0.564755838641189
471,471,0.573,0.565677966101695
472,472,0.573,0.5665961945031712
473,473,0.572,0.5675105485232067
474,474,0.572,0.5663157894736842
475,475,0.572,0.5651260504201681
476,476,0.572,0.5639412997903563
477,477,0.572,0.5627615062761506
478,478,0.572,0.5636743215031316
479,479,0.572,0.5645833333333333
480,480,0.572,0.5634095634095634
481,481,0.572,0.5622406639004149
482,482,0.572,0.5610766045548654
483,483,0.572,0.5599173553719008
484,484,0.572,0.5587628865979382
485,485,0.572,0.5576131687242798
486,486,0.572,0.5564681724845996
487,487,0.572,0.5573770491803278
488,488,0.571,0.558282208588957
489,489,0.572,0.5591836734693878
490,490,0.572,0.5580448065173116
491,491,0.572,0.556910569105691
492,492,0.571,0.5578093306288032
493,493,0.571,0.5587044534412956
494,494,0.571,0.5595959595959596
495,495,0.572,0.5604838709677419
496,496,0.571,0.5613682092555332
497,497,0.571,0.5622489959839357
498,498,0.571,0.56312625250501
499,499,0.571,0.564
